"1","Laporan Lengkap","<p style=""text-align:justify"">Penelitian orisinil, hasil-hasil empiris, laporan analitik dan teknis, analisa situasi, dokumentasi program dukungan ACDP kepada Kementerian Pendidikan dan Kebudayaan, Kementerian Agama dan Bappenas. Laporan lengkap diamanatkan oleh ACDP pada akhir setiap bantuan teknis dan program penelitian yang ditugaskan oleh unit pemerintah mitra ACDP. Laporan menyampaikan rekomendasi kebijakan yang didukung oleh ACDP.</p>","4/21/2017 08:46:58"
"2","Laporan Singkat","<p style=""text-align:justify"">Laporan-laporan singkat terdiri dari ringkas kebijakan ACDP, lembar kerja dan latar belakang acara Kopi Darat (acara dialog terbuka ACDP mengenai kebijakan) yang merupakan sintesis yang memberikan gambaran singkat tentang masalah pendidikan. Laporan-laporan singkat ini biasanya berukuran 4-6 halaman dan menampilkan analisis topik pendidikan atau isu kebijakan tertentu. Beberapa mencakup ringkasan temuan penelitian dan rekomendasi kebijakan yang disajikan secara ringkas, dengan mengacu pada karya-karya besar yang ditemukan pada bagian REKAPIN lainnya.</p>","4/25/2017 11:51:23"
"3","Referensi","<p style=""text-align:justify"">Materi yang dikembangkan dari hasil temuan penelitian dan ditujukan untuk mengajarkan langsung berbagai khalayak, dan dirancang untuk dapat digunakan langsung dan secara praktis oleh berbagai individu, termasuk guru, pelatih guru, pengembang komunitas dan lain-lain. Materi ini termasuk buku pedoman, modul pembelajaran, tool kit, panduan sumber daya, dan manual. Referensi tidak termasuk laporan penelitian, namun dikembangkan sebagai hasil atau komponen dari proyek penelitian ACDP serta kegiatan pengelolaan pengetahuan.</p>","4/25/2017 11:51:33"
"4","Multimedia","<p style=""text-align:justify"">Bantuan audiovisual, rekaman, slides presentasi, ilustrasi, dan infografis yang dihasilkan baik sebagai bagian dari studi, atau kegiatan pengelolaan pengetahuan ACDP, dll. Publikasi non-cetak REKAPIN terkait dengan karya lainnya, seperti ringkasan latar belakang acara Kopi Darat.</p>","4/25/2017 11:51:55"
"5","Artikel berita","<p style=""text-align:justify"">Kumpulan kliping berita yang dihasilkan dari penyelenggaraan dialog terbuka ACDP, seperti KOPI DARAT, berbagai peluncuran, loka karya akhir dan lain-lain. Lebih dari 850 liputan media telah dihasilkan selama rentang 6,5 tahun mengenai berbagai topic, mulai dari pendidikan anak usia dini sampai pendidikan tinggi. Beberapa tautan online mungkin tidak lagi tersedia.</p>","4/25/2017 11:52:06"
